tweet,class
@gagnersl Thx for offering to help - you can start at http://t.co/fQAvs26chY as well,0
@SunnybrowClass4 Sure-you can share the important facts about the water crisis from here: http://t.co/lwTtIuIAxS Thx 4 being world changers!,0
.@jenniferlucas10 So gload you found the #RealConvo chat helpful! We'll Always be there for you!,0
.@JSCSuperStar Thanks for joining us! We're having so much fun!,0
.@PGinsider .@ThePeriodBlog We do indeed! We're so excited for the Twitter chat!,0
@joymarini you haven't missed anything! #waterday is 3/22 and we are celebrating http://t.co/R2ob4BqKG6,0
@CaterpillarInc http://t.co/IIPwmuGd67 appreciates your continued support as we work to give those in need a #waterday.,0
@SharonDAgostino thanks for donating a photo! Have you checked out our #waterday site at http://t.co/R2ob4BqKG6?,0
@basile45wll great photo thanks for sharing! Don't forget to look for your #waterday pic at http://t.co/Gsh3VoVbyq,0
@dlevans5 Of course but our mission+funding and products are for the purposes of empowering developing communities w/access to safe water.,0
 Kobane Refugees Flood Turkish Camps as Islamic St\xe2\x80\xa6: http://t.co/WVp8OrmK22 @CruisingBye',0
@DR_J52 This tap serves one home and in the region we've served 1234 homes to date.,0
@omgupta60 Not quite look East and over the sea.,0
.@bigbooty_lisa haha! #stopthepadness,0
.@MissLuxLife I agree! But I have a feeling my mom would have thrown me a First Moon Party too :/ lol!,0
.@RASJacobson haha! You got it! ;),0
.@ThePeriodBlog Thanks! We don't feel a day over 21 <3,0
15% of parents ‘celebrated’ their daughters 1st period. RT w/ your First Moon Party-esque stories! http://t.co/0cKrftrTc1,0
.@plussizepanda We're sorry to hear this. We want to assure you that all of our products are made using the highest quality standards and..,0
.@thatdarnhippie Sorry to hear this. Which of our products are you referring to?,0
sorry .@_CynthiaaMariee :( anything we could to do make the Radiant pad better?,0
.@Aerotist Well said #LikeAGirl,0
.@faustina10571 exactly! #truth,0
.@JanayBrazier Definitely,0
.@kimoonchul Thanks for the feedback! :),0
.@mariadeconno That's right!!!,0
.@plussizepanda ..are thoroughly evaluated to be safe when used as directed. After reading your message we think it would be best..,0
.@shannoncont .@Renee_M_LeBlanc .@YMCbuzz Oh wow - it's so true!,0
.@ZanobiaDanielle We feel you! #BeenThereDoneThat #HappensToEveryone!,0
Well said .@jenniferlucas10 #RealConvo .@AngelBerry20 .@masalamommas,0
.@AmandaThumann can we fav this a million times?  LOVE LOVE LOVE your tweet & thanks for helping spread the message!,0
.@CarolWillson8 That's AWESOME!!! Thank you for sharing!,0
.@ChelseaGrover21 woohoo!!  Love it!!!,0
.@chip063 thank you!!! ??????!!!  We're so proud of it!!,0
.@elise89890 .@YouTube exactly!!! Let's make sure that message is heard!!!! Thanks for the love!,0
.@FutureCA this tweet? We love it times a million! Thank you!,0
.@GemJenCreations That's so great to hear! Thanks.,0
.@Giulia_Turro so glad to hear this!!!! It's such an important message! Thanks for the ??!,0
.@HazelWalkr You go Florence!!,0
.@iknowthedj Thank you so much!!  Grateful.. #LikeAGirl,0
.@Kelly3334 woo!!,0
.@lpmonk Thanks girl!,0
.@LW138 thanks!!,0
.@MARKgirl_illyL that's so sweet of you! thanks for sharing!,0
.@masalamommas .@neutkidz .@Tampax .@PGeverydayCA Congrats!,0
.@ReallyMarcia Thanks! We're blushing #LikeAGirl,0
.@rhymoid .@thewisecampaign thanks for sharing the link! It's so important to get the topic and conversation out in front! #LikeAGirl,0
.@shannaranafe Thanks!!,0
.@shannoncont thanks!!,0
.@ThePeriodBlog Thanks so much Dedy! This is so great :),0
.@UpliftMeNow thank you!!!,0
.@valentinesa12 <3,0
.@VoterWendy UH-MAZE-ING!  That's awesome & love how supportive you are!  That's a huge accomplishment!,0
.@xauhki super cute! thanks!,0
.@ZerinaGrace .@FabFitFun Thank you! <3,0
.@Zhankat thank you!!!,0
love it! thanks! .@toritherebel,0
Thanks .@Z3LMY!,0
you're welcome! .@andreamgirl1313,0
@MyAquaAmerica thanks for sharing!,0
@zyngaorg thanks for sharing!,0
@Jen_Peralta Thanks for donating your voice to http://t.co/JsYRPRaRtn,0
@mymusea http://t.co/IIPwmuGd67 thanks you for your support.,0
@HopeCoreKenya thanks for reaching out. Please email your info to info@water.org.,0
@neilpryan Great pic! Thanks for sharing with @Water and @donateaphoto,0
@SmileLifesGood Thanks for joining http://t.co/JsYRPRaRtn! Your voice matters.,0
.@DysonMarkA Love it!  And at that age we hope she's CURIOUS #LikeAGirl!,0
.@gico72 DRIVEN #LikeAGirl!!  Now that's what we're talking about!!!!,0
.@hnhong love that!!! We are all about winning #LikeAGirl!,0
.@lilvixendork That's awesome!  We know you will do amazingly & train #LikeAGirl!,0
.@MichaelBicak .@laurakgarrison That's right!  #LikeAGirl means doing it awesomely!!,0
.@MissMagickal23 .@WomenWhoCode THAT'S AWESOME!!!  We love this! #HighFive,0
.@nataliaalbert that's ok!  We won't judge.  We want everyone be open & honest #LikeAGirl!,0
.@SallyNoelle basically you took on your challenges #LikeAGirl!  High five on your amazing achievements!,0
.@serteserbenay kick ass #LikeAGirl! Love this :),0
.@voodoobacon and so are you!!!!! Thank you for empowering supporting and helping make a change #LikeAGirl!,0
@gregauman what an impressive young man! Send him our thanks!,0
@AdamHSchechter best to you all TEAM!,0
What we are doing here today makes me want to dance & shout .. Girls are rising - Holly Gordon #GirlRising #Always4Girls #puberty #ed,0
" A 'Buffer-zone' will not be created btw two Muslim\nland! Join the demo in London today!\n#EgyptRevolution embassy""",0
@StacyStClair we've seen water like that! (but... not in a hotel...@Sochi2014),0
@zach_dovey no we don't. Should we?,0
@yoga_4_change we wish you our best as we both focus on the communities we serve.,0
@jackandraka @alroker congrats! Let @Water know how it goes.,0
Help empower young girls by pledging to #BanBossy! Visit .@LeanIn to learn more & take the pledge http://t.co/rfV7Vr0Tmp,0
@jadewalker thank you for your support ??,0
@anlackovich Thanks for sharing water does impact the lives of girls. We're in this together!,0
.@savf thank you!!! Gotta love how we can #RewriteTheRules #LikeAGirl!,0
.@ErekaV You were so fast we almost missed you! Thanks for empowering girls to #RewriteTheRules with the #LikeAGirl movement.,0
Here’s a surprising fact from .@SleepFoundation: 1 in 3 women have sleep disruptions while on their periods. #AlwaysSleep,0
@ASM1_John We aren't. ??,0
@Brenda77804 So horrible. :(,0
@CassieCochran10 It is heartbreaking. ??,0
@Infrasocial So cruel and unnecessary. :(,0
@jasonyazici1 This is completely legal. :(,0
@julsveggin The flavoring itself isn't vegan. :(,0
@Luv4FurBabies RIP ??,0
@OpuntiaPotwell Heartbreaking! ??,0
@pctwagnet There is no excuse for this!,0
@yawskitel Sad.,0
@BiancaRaye It's a cruel industry: http://t.co/LMHdgTql81,0
@JenOFTHEUNIVERS Horrible! Please send any info you have on this to our Cruelty Investigation Department at CIDinfo@peta.org,0
@_sspx It isn't sharing. We are stealing. http://t.co/LMHdgTql81,0
The best sleep is uninterrupted. Always Ultra Thin Extra Heavy Overnight is the Official Overnight Pad of .@SleepFoundation. #AlwaysSleep,0
Love Always Infinity? What crazy way would you describe the pad that has everyone talking? http://t.co/Yt5j1qcr,0
Do you have last minute Qs for .@Maria_Marin? Ask now! #GiveAGirlABreak,0
Guess who’s appearing in the #FFF VIP Box this summer.. Always Liners! Have you gotten yours yet?? Check out .@FabFitFun for more deets,0
Before we begin be sure to ‘like’ us on Facebook to find out more about our Give a Girl a Break program! #GiveAGirlABreak,0
.@JNotha The absorbency bar is a reddish color. Hope this helps!,0
@BluntsNGlitter Please read the article again.,0
@Prections Whales are marine mammals which means they have lungs 4 breathing instead of gills so they must come to the surface & breathe air,0
@TravisSBN Contact us if you have any questions! ??,0
@beleaf4ever DM us your e-mail and promo code,0
@ceejaygaspard DM us your e-mail and promo code,0
@chennuo312 DM us for your e-mail and promo code,0
@danwaltz313 I like your attitude,0
@drbeave DM us your e-mail and promo code,0
@dwforrest Mighty Morphin' Power Rangers*,0
@FidgetSS DM us your e-mail and promo code,0
@IcedFrenzy good point,0
@Joe_17 he's looking slightly hunched over with his leg up on the bench with notes in hand,0
@KevinMcBride_ DM us your e-mail and promo code,0
@King_Trip3 :(,0
@lanbanane DM us your promo code and e-mail,0
@lanbanane We just followed you Lianne. Feel free to send us a DM.,0
@LaurenMRaymer DM us your e-mail and promo code,0
@Leafsgirl77 DM us your e-mail and promo code,0
@libby_waite DM us with your e-mail and promo code,0
@Liv2Win DM us your e-mail and promo code,0
@Mrkevykevkev DM us your e-mail and promo code,0
@NickGuyadeen If that doesn't work DM us your promo code and e-mail.,0
@NikkiF_xo45 DM us with your e-mail and promo code,0
@painfullies DM us your e-mail and promo code,0
@smithers1972 yup no correlation whatsoever,0
@tessaavanhemme DM us your e-mail and promo code,0
@TheBrycei5Right DM us your e-mail and promo code,0
@tjavey DM us your e-mail and promo code,0
@toewskane DM us your e-mail and promo code.,0
"@UncleMunro ""I remember when we used to count shots....."" - someone with a different worldview",0
@WMBOTT we think @CarltonTheBear approves,0
".@JNotha Sorry for any confusion. Great news - we still make this. We've just removed ""14+"" from the package: http://t.co/VD6z9h0veo",0
@AdidasKing5 More info here: http://t.co/mkFKm1hIyz,0
@JoshDBWH This is why: https://t.co/SdSqOn7Eee,0
@sherman_xavier More info here: http://t.co/z06pPXdzzl,0
@ummhal It isn't: http://t.co/ewH3mpwR5h,0
@Aburrow not when you think about it,0
@louishatton23 patience,0
@ovie08 we'll ask. It is working for us.,0
@SSC_PVC @intactinsurance our pleasure having you here tonight,0
@TMLTBD which zone are you in?,0
@dickwasp underscores are tricky when not tied to hotmail accounts,0
.@bibi5588 Hi - be sure to include the underscore in Maria's handle .@maria_marin ;),0
@mygirlgarnet Please send detailed information to CIDinfo@peta.org.,0
@raulvlqz01 Please share with anyone you know who eats dairy!,0
@RobertPiacente Not at this time you can email to info@water.org to share more on this. Thank you!,0
@heyitsaurore More info here: http://t.co/FPivxfS27M,0
@ric_russ23 Please learn more at http://t.co/hNEpu8lRzN.,0
@sportsnag 1-0 Detroit,0
@Frenchie_TO hope you enjoyed it!,0
@fried_blowney not tonight sadly,0
@herbs_to nice seats,0
@Leafs_42 Sportsnet Ontario.,0
@jake_1314 Animals exist for their own reasons.,0
@jake_1314 We believe animals are not ours to use for food.,0
@GingerJodi Please watch the film Cowspiracy on Netflix to learn more.,0
@opini0natedwolf Please email info@peta.org to update your mail preferences.,0
@Whispernot1 Please send any info you have on this to our Cruelty Investigation Department at CIDinfo@peta.org,0
A panel of experts is taking the stage to take on the discussion of puberty education #Always4Girls,0
Proud to be w/.@UNESCO for the launch of their new Policy on #Puberty #Education and Menstrual Hygiene Management #Always4Girls,0
 @JawaVinnie @BaniHillal NasrunMinna_Allahe-Wa_Fathun-Qareeb Wa-Bashir-Al-Mummineen',0
Congrats to our sister brand .@Tampax! RT .@ChickAdvisor .@Tampax Radiant Pearl Tampons are of our favourites for 2012! http://t.co/ZWAIwePF,0
From the office to the playground the world is your catwalk so OWN it and be #AlwaysConfident with your best accessory…Always #Lingeriefw14,0
We’ve got an exciting announcement coming your way next week! RT if you're already loving all the amazingness that is #GiveAGirlABreak,0
.@ClairolColor is giving away a Years supply of #NaturalInstincts EVERYDAY this month! Enter here! #HealthyIsHot http://t.co/mCk8izFoZD,0
Canadians.. sign up to receive FREE samples from P&G! RT this and order your samples today! http://t.co/1kd2S46X,0
Freshen up ur daily routine: Stop hitting the snooze (sigh) & make more of ur morning (yay)! .@FabFitFun #CarpeDiem http://t.co/cfGVXRhJUT,0
Our friends at .@Tampax & .@FabSugar are giving away $2k towards a new #standout wardrobe! Enter now! http://t.co/CnuAc5Td,0
Our sister brand .@Tampax #Radiant is famous! Check out this starlets rise to fame: http://t.co/tycOT2v6,0
A big thank you to everyone who participated in our chat! Especially .@Maria_Marin. You were a great co-host! :) #GiveAGirlABreak,0
3 2 1… Strike a pose! Stop by the Always photo booth and show us your #AlwaysConfident look this .@LingerieFW. See you there!,0
Who went to the .@hot995 Jingle Ball this week? Any pics from .@Tampax & Always Radiant booth? Show us! #RadiantRocks,0
.@ShimmerTeen We're so excited to work with Amie! Go #TeamAmie!,0
@_c_lara_ That's so great to hear! ??,0
@0______v______0 Exactly! ??,0
@Alumcreeksup Agreed! ??,0
@ashsalad Exactly!,0
@ATucci826 Thank you for fostering! <3,0
@averyapearson Thank you!,0
@bellellajones So happy to help! ?,0
@besoldo Thank you for your support! <3,0
@ccierraa Exactly!,0
@chickenbird01 We <3 them too!,0
@corisparrow Yes!!,0
@Diorlingirl AW!! Thanks for taking such good care of her! ??,0
@f0rbiddenwoods They are great! :),0
@Iluvjackrussell Well said!,0
@jclark702 Yes!,0
@JesseMillette Thank you for reaching out we’re now following through @petauk!,0
@Kapovic8Makyla It really is! ??,0
@Loafingoaf1959 So true!!,0
@Louvre347 Agreed. All countries need to get on board!,0
@Mattangii66 Thank you for signing and RTing! <3,0
@mattwatson8 You're welcome! Shirt looks great on you ??,0
@Mickie_O AW she is adorable!! ?,0
@Mickie_O It's SO great that we have so many options! ??,0
@Mitzy616 So true! <3,0
@myweearniebby Yes please! ;),0
@NadineAlpern Beautiful color!,0
@natashacoach Agreed! Education is key!,0
@Rumersongs What a great picture! Thanks for sharing with us! XOXO,0
@shannairemonae Agreed!!,0
@shoppler1 Thank you for your support! <3,0
@uniguide1 Eye-opening film!,0
@WeAreTheFurler It is SO important!,0
@wgarfinkel Well said!,0
@Winter_Delarosa Exactly!,0
@xTARANTALLEGRAx Such a cutie! Thanks for choosing adoption! ?,0
@ZuzanaBalzerova Thank you! ?,0
@ramsville not yet. training camp doesn't open for a couple of weeks.,0
@RubyLK Hi Leah can you DM us again? Not seeing anything in our inbox.,0
@Baccala10 DM us your PIN,0
@aIonsogarcia Yes! <3 https://t.co/nhkefh8sR7,0
@BambiStJay Exactly! http://t.co/NJocKUJ2jz,0
@catpitalist Hope this helps! https://t.co/4PyLK68V6b,0
@douggmoore Of course they do. https://t.co/LvPMTKEesl,0
@GDOGCA50 Hope this helps! http://t.co/8Bp5DCEYCU,0
@ImJusSayingTho No problem! http://t.co/eFNtvv7JRs,0
@JadaNooKiss Plant based sources are far superior: http://t.co/VpralwJ5zR,0
@zachwesley Sure! You can get tips and recipes here: http://t.co/fQQ65CgBfJ,0
@BardownBergy we appreciate the love.,0
@jenpiedri Please sign and RT!,0
@eellyyssee Try using the original link in a desktop browser with your code we sent you. If that doesn't work DM us your code/e-mail.,0
@NickCaravaggio Try using the original link in a desktop browser with your code we sent you. If that doesn't work DM us your code/e-mail.,0
@bigdaddyariana Here is the PDF version: http://t.co/FnBOfgti7E If you need any tips or recipes check out this link http://t.co/fQQ65CgBfJ,0
@boo_kylie Use our letter writing guide to help! https://t.co/oTlkWQNc0Z,0
@Bryan_VDV Try this out! http://t.co/s35KhxcRBW,0
@KatieLouize Please learn more here: https://t.co/0VgTcXo3Sg,0
@leeakrish Eat delicious food! http://t.co/SCSvPstQ2J,0
@mak_arenaa Please learn more at https://t.co/hNEpu8lRzN.,0
@PoEGGticJustice Of course you can! http://t.co/6Jxdijp3XI,0
@V008S Please learn more here: https://t.co/mkFKm1hIyz,0
"@chewyrh DM us your e-mail and PIN and we'll take care of it. ""These idiots"" weren't on Twitter at 2:40 AM when you sent your request",0
@chewyrh We sent you links and instructions to redeem your Fan Fest tickets. We hope you have a great time.,0
@Carin_Harris claim your photo http://t.co/F0tStSXGvA for a chance to win free tickets to the Sept. 26 game,0
@JustJeffW claim your photo http://t.co/h6OpxBU62t for a chance to win free tickets to the Sept. 26 game,0
@MarlaYuriko The Leafs have decided to honour the troops as an organization this year.,0
@Painttownblue claim your photo http://t.co/LnO0I5qOYG for a chance to win free tickets to the Sept. 26 game,0
